,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
16972,71000516468,91000020717,"IMPELLER, PUMP, CENTRIFUGAL",HERS,ST,,,40151730,,MOD-AB6-CRE,TURBODYN,,2016-04-27,
16973,71000516476,91000020718,"PARTS KIT, SOLENOID VALVE",HERS,KIT,,,261017,,102-688,TURBODYN,,2016-04-27,2022-10-07
16974,71000516484,91000020719,"RING, LANTERN",HERS,ST,,,261017,,S-1115-14,TURBODYN,,2016-04-27,
16975,71000516492,91000020720,NUT,HERS,ST,,,311617,,LB128257011,TURBODYN,,2016-04-27,
16976,71000516500,91000020721,NUT,HERS,ST,,,311617,,919534-002,TURBODYN,,2016-04-27,
16977,71000516518,91000020722,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,W125305-017,TURBODYN,,2016-04-27,2022-11-01
16978,71000516518,91500031173,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,125305 017,TURBODYN,,2017-12-13,2022-11-01
16979,71000516526,91000020723,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,W 125303-023,TURBODYN,,2016-04-27,2022-11-01
16980,71000516526,91500031174,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,125303 023,TURBODYN,,2017-12-13,2022-11-01
16981,71000516534,91000020724,"PACKING, PREFORMED",HERS,ST,,,31181701,,8821,TURBODYN,,2016-04-27,
